Time,Elapsed,Prescribed Time,Source,Name
2022-07-12 12:36:42,0,,Instructor,Session Start
2022-07-12 12:36:56,14,4,Marker,START Care Under Fire
2022-07-12 12:37:00,18,5,Marker,"CUF 1a. Direct casualty: return fire, move to cover"
2022-07-12 12:37:04,22,6,Marker,CUF 1b. Direct casualty to apply self aid if possible
2022-07-12 12:37:08,26,4,Marker,CUF 2a. Move past the casualty with security and return fire
2022-07-12 12:37:13,31,5,Marker,"CUF 2b. Evaluator will state ""Enemy fire is suppressed"""
2022-07-12 12:37:17,35,6,Marker,CUF 3a. Move to casualty. leave security in defensive position
2022-07-12 12:37:21,39,4,Marker,CUF 3b. conduct a visual blood sweep
2022-07-12 12:37:25,43,5,Marker,"CUF 3c. Casualties extracted from burning vehicles and moved to
relative safety."
2022-07-12 12:37:29,47,6,Marker,CUF 3d. Do what is necessary to stop the burning process
2022-07-12 12:37:33,51,4,Marker,START M - Massive Hemorrhage
2022-07-12 12:37:38,56,5,Marker,M 4. Treat life-threatening extremity bleed
2022-07-12 12:37:43,61,6,Marker,M 5. Move casualty to cover
2022-07-12 12:37:47,65,4,Marker,M 6. Establish a secure perimeter
2022-07-12 12:37:52,70,5,Marker,START Tactical Field Care Phase (Primary Assessment)
2022-07-12 12:37:56,74,6,Marker,PA 1a. Reassess interventions
2022-07-12 12:38:01,79,4,Marker,PA 1b. Check for signs of life
2022-07-12 12:38:05,83,5,Marker,PA 2. Observe for any amputations or obvious extremity bleed
2022-07-12 12:38:10,88,6,Marker,START A - Airway
2022-07-12 12:38:14,92,4,Marker,A 3a. Assess A
2022-07-12 12:38:18,96,5,Marker,A 3b. Assess V
2022-07-12 12:38:23,101,6,Marker,A 3c. Assess P
2022-07-12 12:38:28,106,4,Marker,A 3d. Assess U
2022-07-12 12:38:32,110,5,Marker,"A 3e. If unconscious w/o obstruction, open and assess"
2022-07-12 12:38:37,115,6,Marker,A 3f. Position casualty to maintain open airway
2022-07-12 12:38:41,119,4,Marker,A 3g. Insert adjunct as indicated and secure
2022-07-12 12:38:46,124,5,Marker,START R - Respiration
2022-07-12 12:38:50,128,6,Marker,R 4a. Remove Casualty's equipment (IBA)
2022-07-12 12:38:54,132,4,Marker,"R 4b. If  injuries permit, position casualty to facilitate respiratory "
2022-07-12 12:38:58,136,5,Marker,R 5. Assess breathing
2022-07-12 12:39:02,140,6,Marker,START C - Circulation
2022-07-12 12:39:08,146,4,Marker,C 6. Check radial pulse
2022-07-12 12:39:12,150,5,Marker,C 7. Wrap any junctional wounds
2022-07-12 12:39:17,155,6,Marker,C 8. Notify the Tactical Leader for evacuation
2022-07-12 12:39:22,160,4,Marker,START Tac Leader notifies Medic of MEDEVAC ETA
2022-07-12 12:39:25,163,5,Marker,START H - Hypothermia/Head Injury
2022-07-12 12:39:29,167,6,Marker,H 9. Prepare casualty for transport to HLZ
2022-07-12 12:39:33,171,4,Marker,H 10. Reassess MARCH
2022-07-12 12:39:38,176,5,Marker,H 11. Check for drug allergy b4 administration
2022-07-12 12:39:44,182,6,Marker,H 12. Antibiotics
2022-07-12 12:39:48,186,4,Marker,H 13. Ask Tac Leader for MEDEVAC ETA
2022-07-12 12:39:52,190,5,Marker,START Detailed Phys. Exam (Secondary Assessment)
2022-07-12 12:39:57,195,6,Marker,START Head Assessment
2022-07-12 12:40:01,199,4,Marker,HA 14a. Inspect for DCAP-BTLS
2022-07-12 12:40:06,204,5,Marker,HA 14b. Inspect eyes for PERRL
2022-07-12 12:40:11,209,6,Marker,"HA 14c. Inspect Mouth, Nose, Ears"
2022-07-12 12:40:15,213,4,Marker,HA 14*. Manage Injuries Appropriately
2022-07-12 12:40:19,217,5,Marker,START Neck Assessment
2022-07-12 12:40:23,221,6,Marker,NA 15a. Inspect for DCASP-BTLS
2022-07-12 12:40:27,225,4,Marker,NA 15b. Palpate cervical spine
2022-07-12 12:40:31,229,5,Marker,NA 15c. Check position of Trachia
2022-07-12 12:40:34,232,6,Marker,NA 15d. Check Jugular Veins
2022-07-12 12:40:37,235,4,Marker,NA 15*. Manage any injuries appropriately
2022-07-12 12:40:40,238,5,Marker,START Chest Assessment
2022-07-12 12:40:46,244,6,Marker,CA 16a. Inspect for DCAP-BTLS and palpate for TIC
2022-07-12 12:40:50,248,4,Marker,CA 16b. Auscultate bilaterally for lung sounds
2022-07-12 12:40:55,253,5,Marker,CA 16*. Manage any injuries appropriately
2022-07-12 12:40:59,257,,Instructor,Session Stop
